trial,route,mean,std,count,sem,ci_lower,ci_upper
178,Route A,-34.310648013702206,1.738900767550786,500,0.07776600644740235,-34.463069386339114,-34.1582266410653
179,Route A,-34.31787620915001,1.7424913969784557,500,0.07792658427704796,-34.470612314333025,-34.16514010396699
180,Route A,-34.33120082170886,1.7470835408732246,500,0.07813195119527125,-34.48433944605159,-34.17806219736613
181,Route A,-34.351493339031336,1.728868702533315,500,0.0773173588607271,-34.503035362398364,-34.19995131566431
182,Route A,-34.39741734828605,1.6903412682289793,500,0.07559435961866406,-34.54558229313863,-34.249252403433466
183,Route A,-34.39080622712777,1.6890976739702004,500,0.0755387443926829,-34.53886216613743,-34.24275028811811
184,Route A,-34.39537051392143,1.6603336001975233,500,0.07425237590737241,-34.54090517069988,-34.249835857142976
185,Route A,-34.418002599862085,1.6662748071860598,500,0.07451807476126769,-34.56405802639417,-34.27194717333
186,Route A,-34.43353017763602,1.651507167550055,500,0.07385764583940116,-34.578291163481246,-34.2887691917908
187,Route A,-34.47170512703927,1.6671642010839134,500,0.07455784966555518,-34.61783851238376,-34.32557174169478
188,Route A,-34.474764636894264,1.6711784778571512,500,0.07473737358046434,-34.62124988911197,-34.328279384676556
189,Route A,-34.50058529443053,1.6706813139253605,500,0.07471513973351544,-34.64702696830822,-34.35414362055284
190,Route A,-34.49106578426193,1.6594610270262893,500,0.07421335324884797,-34.63652395662967,-34.34560761189419
191,Route A,-34.514213666586194,1.6577579467657504,500,0.0741371891841739,-34.65952255738718,-34.36890477578521
192,Route A,-34.54033496751206,1.6336194534324489,500,0.07305768294482015,-34.683528026083906,-34.39714190894021
193,Route A,-34.557054176910555,1.6232886933381143,500,0.07259567730821667,-34.69934170443466,-34.41476664938645
194,Route A,-34.55845907811277,1.658453318458945,500,0.07416828715168615,-34.70382892093007,-34.413089235295466
195,Route A,-34.556021168147325,1.6862099569455617,500,0.0754096017613454,-34.70382398759956,-34.40821834869509
196,Route A,-34.5981950114013,1.6762930581912447,500,0.07496610456653267,-34.7451285763517,-34.4512614464509
197,Route A,-34.650611165517184,1.6436216871961564,500,0.07350499643727003,-34.79468095853423,-34.50654137250014
198,Route A,-34.65064300172988,1.6628499142659472,500,0.0743649088935671,-34.796398223161276,-34.50488778029849
199,Route A,-34.65870488800802,1.6681759524825341,500,0.07460309656362811,-34.80492695727273,-34.51248281874331
200,Route A,-34.677159014102735,1.660631118973692,500,0.07426568135153432,-34.822719749551744,-34.531598278653725
1,Route B,-24.91752912744505,0.3643775184107445,500,0.016295458012782118,-24.949468225150103,-24.885590029739998
2,Route B,-24.866395028174068,0.4971932190459535,500,0.022235156714773902,-24.909975935335027,-24.82281412101311
3,Route B,-24.80376574515103,0.5835851548653351,500,0.02609872153877263,-24.854919239367025,-24.752612250935034
4,Route B,-24.717925696743077,0.6520336786556677,500,0.029159832581866534,-24.775078968603534,-24.66077242488262
5,Route B,-24.689866730953106,0.6772936990425958,500,0.03028949503583057,-24.749234141223333,-24.63049932068288
6,Route B,-24.64821023820341,0.7220473246978296,500,0.03229093801992419,-24.711500476722463,-24.58491999968436
7,Route B,-24.610586673279435,0.7266089450861701,500,0.03249493988544176,-24.6742767554549,-24.54689659110397
8,Route B,-24.563761134234714,0.7927067772180019,500,0.03545092480168467,-24.633244946846016,-24.49427732162341
9,Route B,-24.537481607168306,0.7958470215309297,500,0.03559136079667795,-24.607240674329795,-24.467722540006818
10,Route B,-24.52950513860958,0.7841007228800404,500,0.0350660503513299,-24.598234597298188,-24.46077567992097
11,Route B,-24.509308341605536,0.7832454053085703,500,0.03502779938668676,-24.577962828403443,-24.44065385480763
12,Route B,-24.476710792655904,0.7983713631364816,500,0.03570425278524685,-24.54669112811499,-24.40673045719682
13,Route B,-24.462362361110294,0.804348033441399,500,0.03597153760686485,-24.53286657481975,-24.39185814740084
14,Route B,-24.456029171798555,0.8193135352792416,500,0.036640815195401126,-24.527845169581543,-24.384213174015567
15,Route B,-24.41165625699122,0.8381878772862815,500,0.03748490143056755,-24.485126663795132,-24.338185850187305
16,Route B,-24.391021178010185,0.8468292915999718,500,0.03787135722711057,-24.465249038175322,-24.316793317845047
