trial,route,mean,std,count,sem,ci_lower,ci_upper
193,Route A,0.036468066603902026,0.018987819720471154,500,0.0008491611127896911,0.03480371082283423,0.03813242238496982
194,Route A,0.03619246315480581,0.018802865602269608,500,0.0008408897131693473,0.034544319316993886,0.03784060699261773
195,Route A,0.03620285305728773,0.019330340516133353,500,0.0008644791084458509,0.03450847400473386,0.0378972321098416
196,Route A,0.03649908696094667,0.020620518727734398,500,0.0009221776321304318,0.034691618801971025,0.038306555119922314
197,Route A,0.03594195327669724,0.01990108168292346,500,0.0008900034293758553,0.03419754655512056,0.03768635999827392
198,Route A,0.03524437193947652,0.01836064086360269,500,0.0008211128216295212,0.03363499080908266,0.03685375306987038
199,Route A,0.03529987797388159,0.018759171862233893,500,0.000838935669711126,0.03365556406124778,0.0369441918865154
200,Route A,0.03549548440600333,0.01907531977606808,500,0.0008530742342366859,0.033823458906899424,0.037167509905107234
1,Route B,0.3333333333333333,0.0,500,0.0,0.3333333333333333,0.3333333333333333
2,Route B,0.3270249937307818,0.055241370875866724,500,0.0024704692089743017,0.32218287408119217,0.33186711338037145
3,Route B,0.32052070993177045,0.07518975308234466,500,0.0033625879820709395,0.3139300374869114,0.3271113823766295
4,Route B,0.30915043881325255,0.09081669957896613,500,0.004061446275014895,0.30119000411422336,0.31711087351228173
5,Route B,0.3032098598737764,0.09962366879033419,500,0.00445530591166223,0.29447746028691846,0.31194225946063436
6,Route B,0.28873723713921096,0.10718687646537085,500,0.004793542841448832,0.27934189316997127,0.29813258110845064
7,Route B,0.28090275043633733,0.11174131241600116,500,0.004997223409144397,0.2711081925544143,0.29069730831826035
8,Route B,0.2726764340506846,0.10962841879188442,500,0.004902731933689379,0.2630670794606534,0.2822857886407158
9,Route B,0.2649167081067438,0.11639781219537021,500,0.005205468410022036,0.2547139900231006,0.275119426190387
10,Route B,0.2589780411903714,0.11446877755466522,500,0.0051191993582706714,0.24894441044816087,0.2690116719325819
11,Route B,0.2483454110651514,0.11302357981964845,500,0.005054568150742147,0.2384384574896968,0.258252364640606
12,Route B,0.2442177725526931,0.11469713935189861,500,0.005129412008312229,0.23416412501640113,0.25427142008898507
13,Route B,0.24580391860889797,0.11526737694764137,500,0.005154913808860366,0.23570028754353164,0.25590754967426427
14,Route B,0.24930588769406645,0.11265523374439047,500,0.005038095213471705,0.2394312210756619,0.259180554312471
15,Route B,0.2450569062817062,0.11227386070336809,500,0.005021039692581468,0.23521566848424652,0.2548981440791659
16,Route B,0.24606274704042608,0.11239710563950597,500,0.0050265513736832065,0.236210706348007,0.25591478773284515
17,Route B,0.24356450715945172,0.11463955327994478,500,0.00512683668088331,0.23351590726492044,0.253613107053983
18,Route B,0.2398801430226839,0.11436472439010671,500,0.005114545959286136,0.22985563294248307,0.24990465310288473
19,Route B,0.23654943353805394,0.11115789340831746,500,0.0049711321179334725,0.22680601458690433,0.24629285248920355
20,Route B,0.24000009919728077,0.11507325086291004,500,0.0051462322264270634,0.22991348403348372,0.2500867143610778
21,Route B,0.23913945742667275,0.11304105632910258,500,0.005055349724005124,0.2292309719676227,0.2490479428857228
22,Route B,0.24178403391848005,0.10902365251191781,500,0.004875685963439278,0.23222768943013908,0.25134037840682105
23,Route B,0.2371157900278928,0.10955800212244336,500,0.004899582804496992,0.22751260773107868,0.2467189723247069
24,Route B,0.2347067643690478,0.10999085078401978,500,0.004918940385122085,0.22506564121420852,0.2443478875238871
25,Route B,0.23436587698018674,0.10835268898491365,500,0.004845679562303192,0.2248683450380725,0.243863408922301
26,Route B,0.23492288700164243,0.108748623407553,500,0.004863386287976266,0.22539064987720894,0.24445512412607592
27,Route B,0.23132716547673138,0.10874484257635315,500,0.00486321720406478,0.2217952597567644,0.24085907119669836
