alpha,beta,negative_log_likelihood
0.08,0.39,150.08108400754247
0.08,0.4,149.77994888838404
0.08,0.41,149.5353537538168
0.08,0.42,149.34580662200136
0.08,0.43,149.2098301505425
0.08,0.44,149.1259639508011
0.08,0.45,149.09276666190948
0.08,0.46,149.10881779441488
0.08,0.47,149.17271935437577
0.08,0.48,149.28309725938746
0.08,0.49,149.43860255844277
0.08,0.5,149.63791246777888
0.08,0.51,149.87973123492668
0.08,0.52,150.16279084311583
0.08,0.53,150.48585156799498
0.08,0.54,150.84770239833705
0.08,0.55,151.24716133203302
0.08,0.56,151.6830755582491
0.08,0.57,152.15432153613992
0.08,0.58,152.65980498000027
0.08,0.59,153.19846076020625
0.08,0.6,153.76925272874948
0.08,0.61,154.3711734776145
0.08,0.62,155.003244037709
0.08,0.63,155.66451352551195
0.08,0.64,156.35405874408409
0.08,0.65,157.0709837445755
0.08,0.66,157.8144193538761
0.08,0.67,158.58352267359228
0.08,0.68,159.3774765550848
0.08,0.69,160.19548905488827
0.08,0.7,161.03679287443435
0.08,0.71,161.90064478763415
0.08,0.72,162.7863250595297
0.08,0.73,163.6931368588933
0.08,0.74,164.62040566737167
0.08,0.75,165.56747868747607
0.08,0.76,166.53372425147845
0.08,0.77,167.51853123302948
0.08,0.78,168.52130846310217
0.08,0.79,169.54148415166827
0.08,0.8,170.578505316327
0.08,0.81,171.63183721894765
0.08,0.82,172.70096281123637
0.08,0.83,173.78538218999427
0.08,0.84,174.88461206272152
0.08,0.85,175.99818522410067
0.08,0.86,177.1256500437993
0.08,0.87,178.26656996593545
0.08,0.88,179.4205230204751
0.08,0.89,180.5871013467505
0.08,0.9,181.76591072923222
0.08,0.91,182.95657014562266
0.08,0.92,184.1587113272947
0.08,0.93,185.37197833204678
0.08,0.94,186.59602712911382
0.08,0.95,187.83052519633566
0.08,0.96,189.07515112935164
0.08,0.97,190.32959426266925
0.08,0.98,191.59355430243184
0.08,0.99,192.86674097068558
0.08,1.0,194.14887366093808
0.09,0.05,202.27385756394747
0.09,0.06,199.0620837832431
0.09,0.07,195.94471834126816
0.09,0.08,192.9222916727854
0.09,0.09,189.99521587346499
0.09,0.1,187.1637822667631
0.09,0.11,184.42815973797303
0.09,0.12,181.788393856527
0.09,0.13,179.2444067954082
0.09,0.14,176.79599804418731
0.09,0.15,174.4428459000323
0.09,0.16,172.1845097094284
0.09,0.17,170.02043282258353
0.09,0.18,167.9499462128581
0.09,0.19,165.97227270528117
0.09,0.2,164.0865317514398
0.09,0.21,162.29174468287334
0.09,0.22,160.5868403715995
0.09,0.23,158.97066122452932
0.09,0.24,157.44196943820856
0.09,0.25,155.99945344145854
0.09,0.26,154.6417344558917
0.09,0.27,153.36737310780913
0.09,0.28,152.17487602940525
0.09,0.29,151.06270239235837
0.09,0.3,150.02927032252765
0.09,0.31,149.07296315046057
0.09,0.32,148.19213545853205
0.09,0.33,147.38511889165326
0.09,0.34,146.6502277044647
0.09,0.35,145.98576402365157
0.09,0.36,145.39002280940957
0.09,0.37,144.8612965050679
0.09,0.38,144.3978793684234
0.09,0.39,143.99807148239208
0.09,0.4,143.66018244617968
0.09,0.41,143.38253475125853
0.09,0.42,143.16346684908504
0.09,0.43,143.00133591968043
0.09,0.44,142.89452035197047
0.09,0.45,142.84142194818517
0.09,0.46,142.8404678656639
0.09,0.47,142.8901123101581
0.09,0.48,142.98883799519305
0.09,0.49,143.1351573822883
0.09,0.5,143.32761371686513
0.09,0.51,143.56478187453578
0.09,0.52,143.845269032193
0.09,0.53,144.16771517791992
0.09,0.54,144.53079347326695
0.09,0.55,144.93321048088285
0.09,0.56,145.3737062698893
0.09,0.57,145.85105441075228
0.09,0.58,146.36406187073914
0.09,0.59,146.91156882039104
0.09,0.6,147.49244836076448
0.09,0.61,148.1056061805426
0.09,0.62,148.7499801514622
0.09,0.63,149.4245398698855
0.09,0.64,150.12828615173166
0.09,0.65,150.8602504874106
0.09,0.66,151.6194944628469
0.09,0.67,152.40510915216177
0.09,0.68,153.21621448708464
0.09,0.69,154.0519586077077
0.09,0.7,154.91151719875543
0.09,0.71,155.7940928151445
0.09,0.72,156.6989142002249
0.09,0.73,157.62523559975105
0.09,0.74,158.57233607429862
0.09,0.75,159.53951881255517
0.09,0.76,160.52611044762546
0.09,0.77,161.53146037825275
0.09,0.78,162.55494009661365
0.09,0.79,163.59594252413766
0.09,0.8,164.65388135661289
0.09,0.81,165.7281904196543
0.09,0.82,166.8183230354585
0.09,0.83,167.92375140161974
0.09,0.84,169.0439659826521
0.09,0.85,170.17847491474365
0.09,0.86,171.32680342416268
0.09,0.87,172.48849325963633
0.09,0.88,173.66310213894278
0.09,0.89,174.8502032098757
0.09,0.9,176.04938452567092
0.09,0.91,177.26024853493138
0.09,0.92,178.48241158602437
